"Mnozstvi","Rok","Doprava","Latka","Jednotka"
0.335432,"2003","vodni","N2O","t"
0.502476,"2004","vodni","N2O","t"
0.41829,"2005","vodni","N2O","t"
0.513348,"2006","vodni","N2O","t"
0.42749000000000004,"2007","vodni","N2O","t"
0.34296,"2008","vodni","N2O","t"
0.42976000000000003,"2009","vodni","N2O","t"
0.344296,"2010","vodni","N2O","t"
0.25791000000000003,"2011","vodni","N2O","t"
0.42957999999999996,"2012","vodni","N2O","t"
0.171848,"2013","vodni","N2O","t"
0.257772,"2014","vodni","N2O","t"
0.25765799999999994,"2015","vodni","N2O","t"
0.343656,"2016","vodni","N2O","t"
0.3408,"2017","vodni","N2O","t"
0.2556,"2018","vodni","N2O","t"
12.361751999999997,"1993","letecka","N2O","t"
15.167256,"1994","letecka","N2O","t"
16.131648000000002,"1995","letecka","N2O","t"
12.27408,"1996","letecka","N2O","t"
14.015999999999996,"1997","letecka","N2O","t"
16.5564,"1998","letecka","N2O","t"
15.680399999999999,"1999","letecka","N2O","t"
17.082,"2000","letecka","N2O","t"
18.1332,"2001","letecka","N2O","t"
15.767999999999999,"2002","letecka","N2O","t"
21.108226,"2003","letecka","N2O","t"
27.062219999999996,"2004","letecka","N2O","t"
28.0256,"2005","letecka","N2O","t"
28.72624,"2006","letecka","N2O","t"
30.12752,"2007","letecka","N2O","t"
31.87912,"2008","letecka","N2O","t"
29.16414,"2009","letecka","N2O","t"
27.324960000000004,"2010","letecka","N2O","t"
26.97464,"2011","letecka","N2O","t"
25.223039999999997,"2012","letecka","N2O","t"
24.34724,"2013","letecka","N2O","t"
25.13546,"2014","letecka","N2O","t"
25.398200000000003,"2015","letecka","N2O","t"
27.32496,"2016","letecka","N2O","t"
30.653,"2017","letecka","N2O","t"
35.29474,"2018","letecka","N2O","t"
41016.6702098057,"1993","individualni_automobilova","NOX","t"
45657.03515814508,"1994","individualni_automobilova","NOX","t"
44513.18439796664,"1995","individualni_automobilova","NOX","t"
46263.06709618832,"1996","individualni_automobilova","NOX","t"
42269.52052336918,"1997","individualni_automobilova","NOX","t"
40462.36842521054,"1998","individualni_automobilova","NOX","t"
39566.78433035153,"1999","individualni_automobilova","NOX","t"
39368.12849956486,"2000","individualni_automobilova","NOX","t"
36269.43332760231,"2001","individualni_automobilova","NOX","t"
35872.900262418305,"2002","individualni_automobilova","NOX","t"
37953.49824799004,"2003","individualni_automobilova","NOX","t"
37245.04770178059,"2004","individualni_automobilova","NOX","t"
37010.87911303325,"2005","individualni_automobilova","NOX","t"
35972.04113260002,"2006","individualni_automobilova","NOX","t"
36077.12006508826,"2007","individualni_automobilova","NOX","t"
34678.18773314407,"2008","individualni_automobilova","NOX","t"
34690.443419077965,"2009","individualni_automobilova","NOX","t"
32083.894167336734,"2010","individualni_automobilova","NOX","t"
31791.635565683664,"2011","individualni_automobilova","NOX","t"
29758.78678503246,"2012","individualni_automobilova","NOX","t"
29309.043316736228,"2013","individualni_automobilova","NOX","t"
29867.987321037443,"2014","individualni_automobilova","NOX","t"
29958.99938344799,"2015","individualni_automobilova","NOX","t"
30511.580793502868,"2016","individualni_automobilova","NOX","t"
30998.017549964206,"2017","individualni_automobilova","NOX","t"
30453.68603790049,"2018","individualni_automobilova","NOX","t"
20119.053515125514,"1993","verejna_silnicni_autobusy","NOX","t"
18297.24101881248,"1994","verejna_silnicni_autobusy","NOX","t"
13970.956842535274,"1995","verejna_silnicni_autobusy","NOX","t"
11451.643500016526,"1996","verejna_silnicni_autobusy","NOX","t"
9960.66253073488,"1997","verejna_silnicni_autobusy","NOX","t"
11725.47930652902,"1998","verejna_silnicni_autobusy","NOX","t"
10409.757672904752,"1999","verejna_silnicni_autobusy","NOX","t"
10031.214112604766,"2000","verejna_silnicni_autobusy","NOX","t"
10004.480825503044,"2001","verejna_silnicni_autobusy","NOX","t"
9528.139262836421,"2002","verejna_silnicni_autobusy","NOX","t"
9458.350142978652,"2003","verejna_silnicni_autobusy","NOX","t"
9043.850598845253,"2004","verejna_silnicni_autobusy","NOX","t"
9473.56066555314,"2005","verejna_silnicni_autobusy","NOX","t"
8899.995941562365,"2006","verejna_silnicni_autobusy","NOX","t"
8610.747760346501,"2007","verejna_silnicni_autobusy","NOX","t"
8657.161743017978,"2008","verejna_silnicni_autobusy","NOX","t"
8528.32901514986,"2009","verejna_silnicni_autobusy","NOX","t"
8170.431458303857,"2010","verejna_silnicni_autobusy","NOX","t"
7948.583221356757,"2011","verejna_silnicni_autobusy","NOX","t"
7714.51741415455,"2012","verejna_silnicni_autobusy","NOX","t"
6861.430041436801,"2013","verejna_silnicni_autobusy","NOX","t"
6881.965394845785,"2014","verejna_silnicni_autobusy","NOX","t"
5751.113955000186,"2015","verejna_silnicni_autobusy","NOX","t"
4977.062214537015,"2016","verejna_silnicni_autobusy","NOX","t"
4612.53793250937,"2017","verejna_silnicni_autobusy","NOX","t"
3851.708421060221,"2018","verejna_silnicni_autobusy","NOX","t"
32830.17386820034,"1993","silnicni_nakladni","NOX","t"
33888.406895213884,"1994","silnicni_nakladni","NOX","t"
27555.183137190626,"1995","silnicni_nakladni","NOX","t"
25072.24031565932,"1996","silnicni_nakladni","NOX","t"
23957.82827281988,"1997","silnicni_nakladni","NOX","t"
29225.93266987187,"1998","silnicni_nakladni","NOX","t"
28302.65856938775,"1999","silnicni_nakladni","NOX","t"
29155.53256371205,"2000","silnicni_nakladni","NOX","t"
30959.841335845464,"2001","silnicni_nakladni","NOX","t"
31909.141541241268,"2002","silnicni_nakladni","NOX","t"
34892.389026069584,"2003","silnicni_nakladni","NOX","t"
36293.46217927069,"2004","silnicni_nakladni","NOX","t"
40296.18316595421,"2005","silnicni_nakladni","NOX","t"
39723.86452867953,"2006","silnicni_nakladni","NOX","t"
38676.769751744876,"2007","silnicni_nakladni","NOX","t"
37647.440217636635,"2008","silnicni_nakladni","NOX","t"
34783.89069219389,"2009","silnicni_nakladni","NOX","t"
31787.145272095753,"2010","silnicni_nakladni","NOX","t"
29955.977450733397,"2011","silnicni_nakladni","NOX","t"
29103.043398312082,"2012","silnicni_nakladni","NOX","t"
26542.870065959833,"2013","silnicni_nakladni","NOX","t"
25108.5834810221,"2014","silnicni_nakladni","NOX","t"
23263.42521583474,"2015","silnicni_nakladni","NOX","t"
21322.334550111358,"2016","silnicni_nakladni","NOX","t"
20529.525651762197,"2017","silnicni_nakladni","NOX","t"
17860.778784115602,"2018","silnicni_nakladni","NOX","t"
591.8466467884833,"1993","motocykly","NOX","t"
669.1177316211869,"1994","motocykly","NOX","t"
664.9931477488276,"1995","motocykly","NOX","t"
707.9453921255163,"1996","motocykly","NOX","t"
682.3311157246958,"1997","motocykly","NOX","t"
641.3939577845641,"1998","motocykly","NOX","t"
587.3415514476688,"1999","motocykly","NOX","t"
566.6520908834517,"2000","motocykly","NOX","t"
531.5644611170115,"2001","motocykly","NOX","t"
496.3285430063279,"2002","motocykly","NOX","t"
502.5711202473154,"2003","motocykly","NOX","t"
460.0426428361949,"2004","motocykly","NOX","t"
360.25219471800506,"2005","motocykly","NOX","t"
333.266571788538,"2006","motocykly","NOX","t"
355.5193052870798,"2007","motocykly","NOX","t"
352.8163551185833,"2008","motocykly","NOX","t"
356.3699891754476,"2009","motocykly","NOX","t"
319.503712512626,"2010","motocykly","NOX","t"
322.42435806604203,"2011","motocykly","NOX","t"
304.86960144938234,"2012","motocykly","NOX","t"
228.00773341921968,"2013","motocykly","NOX","t"
184.44925887126328,"2014","motocykly","NOX","t"
138.7510635855017,"2015","motocykly","NOX","t"
108.92729316264244,"2016","motocykly","NOX","t"
85.5619591753988,"2017","motocykly","NOX","t"
69.86036657877551,"2018","motocykly","NOX","t"
4469.80377394005,"1993","zeleznicni_motorova_trakce","NOX","t"
3601.531152244984,"1994","zeleznicni_motorova_trakce","NOX","t"
3593.690302545523,"1995","zeleznicni_motorova_trakce","NOX","t"
3541.6125846501127,"1996","zeleznicni_motorova_trakce","NOX","t"
3043.288212069938,"1997","zeleznicni_motorova_trakce","NOX","t"
3830.7,"1998","zeleznicni_motorova_trakce","NOX","t"
3559.5,"1999","zeleznicni_motorova_trakce","NOX","t"
3525.6,"2000","zeleznicni_motorova_trakce","NOX","t"
3288.2999999999997,"2001","zeleznicni_motorova_trakce","NOX","t"
3186.6,"2002","zeleznicni_motorova_trakce","NOX","t"
3118.7999999999997,"2003","zeleznicni_motorova_trakce","NOX","t"
3084.9,"2004","zeleznicni_motorova_trakce","NOX","t"
3120.9887999999996,"2005","zeleznicni_motorova_trakce","NOX","t"
3256.8796799999996,"2006","zeleznicni_motorova_trakce","NOX","t"
3222.58,"2007","zeleznicni_motorova_trakce","NOX","t"
3561.66048,"2008","zeleznicni_motorova_trakce","NOX","t"
3222.71744,"2009","zeleznicni_motorova_trakce","NOX","t"
3121.2726399999997,"2010","zeleznicni_motorova_trakce","NOX","t"
3053.41296,"2011","zeleznicni_motorova_trakce","NOX","t"
2951.7281599999997,"2012","zeleznicni_motorova_trakce","NOX","t"
2883.988,"2013","zeleznicni_motorova_trakce","NOX","t"
2922.34944,"2014","zeleznicni_motorova_trakce","NOX","t"
